Fraction Removed,LCC Size,Number of Components
0.1426,43,282
0.1428,43,285
0.1430,43,288
0.1432,41,291
0.1434,41,293
0.1436,41,296
0.1438,41,299
0.1440,41,303
0.1442,41,305
0.1444,35,307
0.1446,35,311
0.1448,35,313
0.1450,34,316
0.1452,34,321
0.1454,31,323
0.1456,31,325
0.1458,31,327
0.1460,31,332
0.1462,31,334
0.1464,29,336
0.1466,28,339
0.1468,28,341
0.1470,28,344
0.1472,28,348
0.1474,27,350
0.1476,27,352
0.1478,26,355
0.1480,26,358
0.1482,25,360
0.1484,24,364
0.1486,23,366
0.1488,23,368
0.1490,23,371
0.1492,23,373
0.1494,22,375
0.1496,22,377
0.1498,21,380
0.1500,21,383
0.1502,21,386
0.1504,21,389
0.1506,21,391
0.1508,21,395
0.1510,21,397
0.1512,19,399
0.1514,19,402
0.1516,19,405
0.1518,19,408
0.1520,19,410
0.1522,19,414
0.1524,19,416
0.1526,19,419
0.1528,16,420
0.1530,16,424
0.1532,16,428
0.1534,16,430
0.1536,16,432
0.1538,16,434
0.1540,16,437
0.1542,16,440
0.1544,16,443
0.1546,16,446
0.1548,16,449
0.1550,16,452
0.1552,15,454
0.1554,15,458
0.1556,15,461
0.1558,15,463
0.1560,15,465
0.1562,15,467
0.1564,15,469
0.1566,15,471
0.1568,15,473
0.1570,15,475
0.1572,15,477
0.1574,15,479
0.1576,15,482
0.1578,15,486
0.1580,15,490
0.1582,14,491
0.1584,14,494
0.1586,14,496
0.1588,14,498
0.1590,14,500
0.1592,13,502
0.1594,13,505
0.1596,13,507
0.1598,13,509
0.1600,12,511
0.1602,12,513
0.1604,12,516
0.1606,12,519
0.1608,12,522
0.1610,12,524
0.1612,12,526
0.1614,11,528
0.1616,11,531
0.1618,11,533
0.1620,11,536
0.1622,11,538
0.1624,11,540
0.1626,11,542
0.1628,11,544
0.1630,11,546
0.1632,11,548
0.1634,10,550
0.1636,10,552
0.1638,10,554
0.1640,10,557
0.1642,10,560
0.1644,10,563
0.1646,10,565
0.1648,10,567
0.1650,10,569
0.1652,10,571
0.1654,10,573
0.1656,10,575
0.1658,10,578
0.1660,9,579
0.1662,9,581
0.1664,9,583
0.1666,9,585
0.1668,9,587
0.1670,9,589
0.1672,9,591
0.1674,9,594
0.1676,9,597
0.1678,9,600
0.1680,9,601
0.1682,9,602
0.1684,9,604
0.1686,8,605
0.1688,8,607
0.1690,8,610
0.1692,8,612
0.1694,8,614
0.1696,8,616
0.1698,8,618
0.1700,8,620
0.1702,8,622
0.1704,8,624
0.1706,8,626
0.1708,8,629
0.1710,8,630
0.1712,8,633
0.1714,8,635
0.1716,8,636
0.1718,8,637
0.1720,8,640
0.1722,8,641
0.1724,8,644
0.1726,8,645
0.1728,7,646
0.1730,7,648
0.1732,7,650
0.1734,7,652
0.1736,7,654
0.1738,7,656
0.1740,7,658
0.1742,7,660
0.1744,7,662
0.1746,7,664
0.1748,7,666
0.1750,7,668
0.1752,7,670
0.1754,7,672
0.1756,7,674
0.1758,7,676
0.1760,7,678
0.1762,7,681
0.1764,7,684
0.1766,7,686
0.1768,7,687
0.1770,7,690
0.1772,7,692
0.1774,7,694
0.1776,6,695
0.1778,6,697
0.1780,6,699
0.1782,6,701
0.1784,6,703
0.1786,6,705
0.1788,6,707
0.1790,6,709
0.1792,6,711
0.1794,6,713
0.1796,6,715
0.1798,6,717
0.1800,6,719
0.1802,6,721
0.1804,6,723
0.1806,6,725
0.1808,6,727
0.1810,6,729
0.1812,6,731
0.1814,6,733
0.1816,6,735
0.1818,6,737
0.1820,6,739
0.1822,6,741
0.1824,6,743
0.1826,6,745
0.1828,6,747
0.1830,6,748
0.1832,6,749
0.1834,6,750
0.1836,6,751
0.1838,6,754
0.1840,6,757
0.1842,6,758
0.1844,6,759
0.1846,6,760
0.1848,6,761
0.1850,6,762
0.1852,6,763
0.1854,6,764
0.1856,6,765
0.1858,5,766
0.1860,5,768
0.1862,5,770
0.1864,5,772
0.1866,5,774
0.1868,5,776
0.1870,5,778
0.1872,5,780
0.1874,5,782
0.1876,5,784
0.1878,5,786
0.1880,5,788
0.1882,5,790
0.1884,5,792
0.1886,5,794
0.1888,5,796
0.1890,5,798
0.1892,5,800
0.1894,5,802
0.1896,5,804
0.1898,5,806
0.1900,5,808
0.1902,5,810
0.1904,5,812
0.1906,5,813
0.1908,5,814
0.1910,5,815
0.1912,5,816
0.1914,5,817
0.1916,5,818
0.1918,5,819
0.1920,5,820
0.1922,5,821
0.1924,5,822
