Fraction Removed,LCC Size,Number of Components
0.1236,1882,1
0.1238,1881,1
0.1240,1880,1
0.1242,1879,1
0.1244,1878,1
0.1246,1877,1
0.1248,1876,1
0.1250,1875,1
0.1252,1874,1
0.1254,1873,1
0.1256,1872,1
0.1258,1871,1
0.1260,1870,1
0.1262,1869,1
0.1264,1868,1
0.1266,1867,1
0.1268,1866,1
0.1270,1865,1
0.1272,1864,1
0.1274,1863,1
0.1276,1862,1
0.1278,1861,1
0.1280,1860,1
0.1282,1859,1
0.1284,1858,1
0.1286,1857,1
0.1288,1856,1
0.1290,1855,1
0.1292,1854,1
0.1294,1853,1
0.1296,1852,1
0.1298,1851,1
0.1300,1850,1
0.1302,1849,1
0.1304,1848,1
0.1306,1847,1
0.1308,1846,1
0.1310,1845,1
0.1312,1844,1
0.1314,1843,1
0.1316,1842,1
0.1318,1841,1
0.1320,1840,1
0.1322,1839,1
0.1324,1838,1
0.1326,1837,1
0.1328,1836,1
0.1330,1835,1
0.1332,1834,1
0.1334,1833,1
0.1336,1832,1
0.1338,1831,1
0.1340,1830,1
0.1342,1829,1
0.1344,1828,1
0.1346,1827,1
0.1348,1826,1
0.1350,1825,1
0.1352,1824,1
0.1354,1823,1
0.1356,1822,1
0.1358,1821,1
0.1360,1820,1
0.1362,1819,1
0.1364,1818,1
0.1366,1817,1
0.1368,1816,1
0.1370,1815,1
0.1372,1814,1
0.1374,1813,1
0.1376,1812,1
0.1378,1811,1
0.1380,1810,1
0.1382,1809,1
0.1384,1808,1
0.1386,1807,1
0.1388,1806,1
0.1390,1805,1
0.1392,1804,1
0.1394,1803,1
0.1396,1802,1
0.1398,1801,1
0.1400,1800,1
0.1402,1799,1
0.1404,1798,1
0.1406,1797,1
0.1408,1796,1
0.1410,1795,1
0.1412,1794,1
0.1414,1793,1
0.1416,1792,1
0.1418,1791,1
0.1420,1790,1
0.1422,1789,1
0.1424,1788,1
0.1426,1787,1
0.1428,1786,1
0.1430,1785,1
0.1432,1784,1
0.1434,1783,1
0.1436,1782,1
0.1438,1781,1
0.1440,1780,1
0.1442,1779,1
0.1444,1778,1
0.1446,1777,1
0.1448,1776,1
0.1450,1775,1
0.1452,1774,1
0.1454,1773,1
0.1456,1772,1
0.1458,1771,1
0.1460,1770,1
0.1462,1769,1
0.1464,1768,1
0.1466,1767,1
0.1468,1766,1
0.1470,1765,1
0.1472,1764,1
0.1474,1763,1
0.1476,1762,1
0.1478,1761,1
0.1480,1760,1
0.1482,1759,1
0.1484,1758,1
0.1486,1757,1
0.1488,1756,1
0.1490,1755,1
0.1492,1754,1
0.1494,1753,1
0.1496,1752,1
0.1498,1751,1
0.1500,1750,1
0.1502,1749,1
0.1504,1748,1
0.1506,1747,1
0.1508,1746,1
0.1510,1745,1
0.1512,1744,1
0.1514,1743,1
0.1516,1742,1
0.1518,1741,1
0.1520,1740,1
0.1522,1739,1
0.1524,1738,1
0.1526,1737,1
0.1528,1736,1
0.1530,1735,1
0.1532,1734,1
0.1534,1733,1
0.1536,1732,1
0.1538,1731,1
0.1540,1730,1
0.1542,1729,1
0.1544,1728,1
0.1546,1727,1
0.1548,1726,1
0.1550,1725,1
0.1552,1724,1
0.1554,1723,1
0.1556,1722,1
0.1558,1721,1
0.1560,1720,1
0.1562,1719,1
0.1564,1718,1
0.1566,1717,1
0.1568,1716,1
0.1570,1715,1
0.1572,1714,1
0.1574,1713,1
0.1576,1712,1
0.1578,1711,1
0.1580,1710,1
0.1582,1709,1
0.1584,1708,1
0.1586,1707,1
0.1588,1706,1
0.1590,1705,1
0.1592,1704,1
0.1594,1703,1
0.1596,1702,1
0.1598,1701,1
0.1600,1700,1
0.1602,1699,1
0.1604,1698,1
0.1606,1697,1
0.1608,1696,1
0.1610,1695,1
0.1612,1694,1
0.1614,1693,1
0.1616,1692,1
0.1618,1691,1
