Fraction Removed,LCC Size,Number of Components
0.1566,1533,28
0.1568,1532,28
0.1570,1531,28
0.1572,1530,28
0.1574,1529,28
0.1576,1528,28
0.1578,1527,28
0.1580,1526,28
0.1582,1525,28
0.1584,1524,28
0.1586,1523,28
0.1588,1522,28
0.1590,1521,28
0.1592,1520,28
0.1594,1520,28
0.1596,1519,28
0.1598,1518,28
0.1600,1518,28
0.1602,1517,28
0.1604,1516,28
0.1606,1515,28
0.1608,1515,28
0.1610,1514,28
0.1612,1513,28
0.1614,1512,28
0.1616,1511,28
0.1618,1510,28
0.1620,1509,28
0.1622,1509,28
0.1624,1508,28
0.1626,1507,28
0.1628,1506,28
0.1630,1505,28
0.1632,1504,28
0.1634,1503,28
0.1636,1502,28
0.1638,1501,28
0.1640,1500,28
0.1642,1499,28
0.1644,1498,28
0.1646,1497,28
0.1648,1497,28
0.1650,1496,28
0.1652,1494,29
0.1654,1494,29
0.1656,1492,30
0.1658,1491,30
0.1660,1490,30
0.1662,1489,30
0.1664,1488,30
0.1666,1487,30
0.1668,1481,31
0.1670,1480,31
0.1672,1479,31
0.1674,1478,31
0.1676,1477,31
0.1678,1476,31
0.1680,1475,31
0.1682,1474,31
0.1684,1473,31
0.1686,1472,31
0.1688,1471,31
0.1690,1470,31
0.1692,1469,31
0.1694,1468,31
0.1696,1467,31
0.1698,1466,31
0.1700,1463,32
0.1702,1463,33
0.1704,1462,33
0.1706,1461,33
0.1708,1460,33
0.1710,1459,33
0.1712,1458,33
0.1714,1457,33
0.1716,1456,33
0.1718,1455,33
0.1720,1455,33
0.1722,1455,33
0.1724,1455,34
0.1726,1454,34
0.1728,1453,34
0.1730,1452,34
0.1732,1451,34
0.1734,1450,34
0.1736,1449,34
0.1738,1448,34
0.1740,1447,34
0.1742,1446,34
0.1744,1445,34
0.1746,1444,34
0.1748,1443,34
0.1750,1442,34
0.1752,1441,34
0.1754,1440,34
0.1756,1439,34
0.1758,1438,34
0.1760,1438,34
0.1762,1437,34
0.1764,1436,34
0.1766,1436,35
0.1768,1435,35
0.1770,1434,35
0.1772,1433,35
0.1774,1432,35
0.1776,1431,35
0.1778,1430,35
0.1780,1429,35
0.1782,1428,35
0.1784,1427,35
0.1786,1426,35
0.1788,1425,35
0.1790,1424,35
0.1792,1423,35
0.1794,1422,35
0.1796,1421,35
0.1798,1420,35
0.1800,1294,36
0.1802,1293,36
0.1804,1292,36
0.1806,1291,36
0.1808,1290,36
0.1810,1289,36
0.1812,1288,36
0.1814,1287,36
0.1816,1286,36
0.1818,1285,36
0.1820,1284,36
0.1822,1283,36
0.1824,1282,36
0.1826,1282,36
0.1828,1182,37
0.1830,1182,37
0.1832,1181,37
0.1834,1181,37
0.1836,1181,37
0.1838,1180,37
0.1840,1180,37
0.1842,1180,38
0.1844,1179,38
0.1846,1179,38
0.1848,1179,38
0.1850,1179,39
0.1852,1178,39
0.1854,1177,39
0.1856,1176,39
0.1858,1176,39
0.1860,1176,39
0.1862,1176,39
0.1864,1175,39
0.1866,1174,39
0.1868,1173,39
0.1870,1172,39
0.1872,1172,39
0.1874,1171,39
0.1876,1170,39
0.1878,1170,39
0.1880,1169,39
0.1882,1168,39
0.1884,1167,39
0.1886,1166,39
0.1888,1165,39
0.1890,1165,39
0.1892,1164,39
0.1894,1163,39
0.1896,1162,39
0.1898,1161,39
0.1900,1154,40
0.1902,1153,40
0.1904,1153,41
0.1906,1148,42
0.1908,1148,42
0.1910,1147,42
0.1912,1146,42
0.1914,1145,42
0.1916,1145,42
0.1918,1144,42
0.1920,1143,42
0.1922,1142,42
0.1924,1142,42
0.1926,1142,42
0.1928,1141,42
0.1930,1140,42
0.1932,1140,42
0.1934,1139,42
0.1936,1138,42
0.1938,1137,42
0.1940,1137,43
0.1942,1136,43
0.1944,1135,43
0.1946,1135,43
0.1948,1134,43
0.1950,1122,44
0.1952,1122,45
0.1954,1121,45
0.1956,1117,46
0.1958,1116,46
0.1960,1116,46
0.1962,1115,46
0.1964,1114,46
0.1966,1113,46
0.1968,1112,46
0.1970,1111,46
0.1972,1110,46
0.1974,1109,46
0.1976,1108,46
0.1978,1107,46
0.1980,1106,46
0.1982,1105,46
0.1984,1105,46
0.1986,1104,46
0.1988,1103,46
0.1990,1101,47
0.1992,1101,47
0.1994,1100,47
0.1996,1099,47
0.1998,1098,47
0.2000,1097,47
0.2002,1096,47
0.2004,1095,47
0.2006,1094,47
0.2008,1093,47
0.2010,1092,47
0.2012,1092,47
0.2014,1091,47
0.2016,1090,47
0.2018,1090,49
0.2020,1089,49
0.2022,1088,49
0.2024,1088,49
0.2026,1087,49
0.2028,1087,49
0.2030,1086,49
0.2032,1086,49
0.2034,1086,49
0.2036,1085,49
0.2038,1085,50
0.2040,1084,50
0.2042,1084,50
0.2044,1083,50
0.2046,1082,50
0.2048,1081,50
0.2050,1080,50
0.2052,1079,50
0.2054,1078,50
0.2056,1077,50
0.2058,1076,50
0.2060,1075,50
0.2062,1075,50
0.2064,1074,50
0.2066,1073,50
0.2068,1073,50
0.2070,1072,50
0.2072,1071,50
0.2074,1071,50
0.2076,1071,50
0.2078,1071,51
0.2080,1070,51
0.2082,1070,50
0.2084,1069,50
0.2086,1068,50
0.2088,1068,50
0.2090,1067,50
0.2092,1066,50
0.2094,1066,50
0.2096,1066,50
0.2098,1065,50
0.2100,1064,50
0.2102,1064,50
0.2104,1064,50
0.2106,1063,50
0.2108,1062,50
0.2110,1061,50
0.2112,1061,50
0.2114,1060,50
0.2116,1059,50
0.2118,1058,50
0.2120,1058,51
0.2122,1057,51
0.2124,1056,51
0.2126,1055,51
0.2128,1054,51
0.2130,1054,51
0.2132,1053,51
0.2134,1052,51
0.2136,1051,51
0.2138,1050,51
0.2140,1049,51
0.2142,1049,50
0.2144,1048,50
0.2146,1044,51
0.2148,1044,51
0.2150,1043,51
0.2152,1042,51
0.2154,1041,51
0.2156,1041,52
0.2158,1040,52
0.2160,993,53
0.2162,992,53
